model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	11	0.9091	0.0801	-0.0492	-0.0541	9	1	0.444
ret_60	top_10pct	8	0.75	0.0799	-0.0398	-0.068	5	1	0.484
ret_60	top_15pct	8	0.75	0.0859	-0.0387	-0.068	5	1	0.481
ret_60	top_20pct	9	0.7778	0.0991	-0.0347	-0.068	6	1	0.4789
ret_60	bullish_plus	10	0.8	0.0825	-0.0359	-0.068	7	1	0.444
ret_60	strong_bullish_plus	7	0.7143	0.0671	-0.0531	-0.068	4	1	0.444
sma_gap_60	threshold	11	0.9091	0.0806	-0.0492	-0.0541	9	1	0.458
sma_gap_60	top_10pct	7	0.7143	0.0636	-0.0449	-0.068	4	1	0.4905
sma_gap_60	top_15pct	9	0.7778	0.1059	-0.0336	-0.068	6	1	0.4887
sma_gap_60	top_20pct	9	0.7778	0.0943	-0.0355	-0.068	6	1	0.4864
sma_gap_60	bullish_plus	9	0.7778	0.0943	-0.0355	-0.068	6	1	0.458
sma_gap_60	strong_bullish_plus	7	0.7143	0.0735	-0.0531	-0.068	4	1	0.458
ret_60_plus_sma_gap_60	threshold	11	0.9091	0.0815	-0.0492	-0.0541	9	1	0.461
ret_60_plus_sma_gap_60	top_10pct	7	0.7143	0.0786	-0.042	-0.068	4	1	0.4915
ret_60_plus_sma_gap_60	top_15pct	9	0.7778	0.1039	-0.0339	-0.068	6	1	0.4897
ret_60_plus_sma_gap_60	top_20pct	9	0.7778	0.1029	-0.0341	-0.068	6	1	0.4877
ret_60_plus_sma_gap_60	bullish_plus	9	0.7778	0.1029	-0.0341	-0.068	6	1	0.461
ret_60_plus_sma_gap_60	strong_bullish_plus	7	0.7143	0.0735	-0.0531	-0.068	4	1	0.461
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	11	0.9091	0.0815	-0.0492	-0.0541	9	1	0.443
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	7	0.7143	0.0867	-0.0406	-0.068	4	1	0.478
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	8	0.75	0.0859	-0.0387	-0.068	5	1	0.476
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	9	0.7778	0.0954	-0.0353	-0.068	6	1	0.4735
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	9	0.7778	0.0954	-0.0353	-0.068	6	1	0.443
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	7	0.8571	0.0933	-0.0395	-0.068	6	1	0.443
ret_60_plus_sma_gap_60	fixed_0.47	11	0.8182	0.074	-0.0361	-0.068	8	1	0.47
ret_60_plus_sma_gap_60	fixed_0.49	8	0.75	0.0953	-0.0371	-0.068	5	1	0.49
ret_60_plus_sma_gap_60	fixed_0.51	2	0.5	0.0251	-0.0608	-0.068	1	1	0.51
ret_60_plus_sma_gap_60	cooldown_5d	100	0.85	0.0905	-0.1785	-0.3666	41	9	0.461
ret_60_plus_sma_gap_60	cooldown_10d	57	0.8596	0.0906	-0.1306	-0.2804	44	5	0.461
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	9	0.7778	0.0943	-0.0355	-0.068	6	1	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	3	0.6667	0.0364	-0.0578	-0.068	2	1	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	2	0.5	0.0336	-0.0599	-0.068	1	1	0.51
