strategy_name	rule_name	trade_count	hit_rate	avg_return
combo_threshold	threshold	33	0.6666666666666666	0.0427287045459228
combo_fixed_0_49	fixed_0.49	33	0.6666666666666666	0.047984502303528305
combo_top_12_5pct	top_12_5pct	25	0.68	0.04274445403454776
combo_top_15pct	top_15pct	25	0.68	0.039248395715552206
combo_top_17_5pct	top_17_5pct	27	0.6296296296296297	0.03891930950187251
combo_top_20pct	top_20pct	28	0.6428571428571429	0.04150361843704633
combo_neg115_top_17_5pct	top_17_5pct	27	0.6296296296296297	0.03891930950187251
combo_neg115_threshold	threshold	33	0.6666666666666666	0.0427287045459228
combo_neg115_fixed_0_47	fixed_0.47	33	0.6666666666666666	0.03892033853824804
combo_neg115_fixed_0_49	fixed_0.49	29	0.6206896551724138	0.036862214901174736
combo_neg115_top_15pct	top_15pct	25	0.68	0.040807012658595355
combo_neg115_top_20pct	top_20pct	28	0.6428571428571429	0.041296578687989645
sma_gap_60_top15	top_15pct	28	0.6428571428571429	0.04581045724507032
