model_name	score_decile	sample_count	avg_forward_return	hit_rate
ranking_baseline	1	63	0.0329	0.6349
ranking_baseline	2	63	0.0823	0.8254
ranking_baseline	3	63	0.0982	0.873
ranking_baseline	4	63	0.0972	0.8571
ranking_baseline	5	63	0.1164	0.9048
ranking_baseline	6	63	0.0891	0.8413
ranking_baseline	7	63	0.0778	0.8254
ranking_baseline	8	63	0.0949	0.8571
ranking_baseline	9	63	0.0618	0.7143
ranking_baseline	10	63	0.0838	0.7778
ranking_plus_atr_pct_20	1	63	0.0584	0.7143
ranking_plus_atr_pct_20	2	63	0.1052	0.9683
ranking_plus_atr_pct_20	3	63	0.0967	0.9206
ranking_plus_atr_pct_20	4	63	0.0937	0.8889
ranking_plus_atr_pct_20	5	63	0.0906	0.8095
ranking_plus_atr_pct_20	6	63	0.0885	0.7937
ranking_plus_atr_pct_20	7	63	0.0822	0.8095
ranking_plus_atr_pct_20	8	63	0.0755	0.7778
ranking_plus_atr_pct_20	9	63	0.1017	0.873
ranking_plus_atr_pct_20	10	63	0.042	0.5556
ranking_plus_rolling_vol_60	1	63	0.0506	0.6825
ranking_plus_rolling_vol_60	2	63	0.0707	0.7937
ranking_plus_rolling_vol_60	3	63	0.0984	0.9365
ranking_plus_rolling_vol_60	4	63	0.0853	0.8413
ranking_plus_rolling_vol_60	5	63	0.103	0.873
ranking_plus_rolling_vol_60	6	63	0.1093	0.873
ranking_plus_rolling_vol_60	7	63	0.0774	0.8254
ranking_plus_rolling_vol_60	8	63	0.0844	0.8254
ranking_plus_rolling_vol_60	9	63	0.0746	0.7143
ranking_plus_rolling_vol_60	10	63	0.0807	0.746
