scope	year	rows	mean_return	p10	p25	p50	p75	p90
train		2940	0.022	-0.0795	-0.0435	0.0184	0.081	0.1358
validation		630	0.0116	-0.072	-0.047	-0.0057	0.0668	0.1156
test		630	0.0834	-0.0432	0.0264	0.088	0.1498	0.1966
year	2005	31	0.0992	0.0515	0.0906	0.1056	0.1184	0.1259
year	2006	240	0.0399	-0.0642	-0.0162	0.0394	0.0836	0.1468
year	2007	200	0.1091	-0.0241	0.0676	0.121	0.1623	0.2112
year	2008	252	0.0008	-0.1221	-0.0775	-0.023	0.0501	0.1819
year	2009	240	0.0504	-0.0288	-0.0063	0.0474	0.0913	0.14
year	2010	213	0.0616	-0.001	0.0157	0.0625	0.1033	0.1283
year	2011	239	0.0504	-0.0415	-0.0116	0.0492	0.0892	0.1681
year	2012	213	-0.0131	-0.0762	-0.0572	-0.0351	0.0345	0.0954
year	2013	252	-0.0513	-0.141	-0.1143	-0.0618	0.0045	0.0708
year	2014	212	-0.0173	-0.0807	-0.0587	-0.0127	0.0159	0.0481
year	2015	218	-0.0063	-0.0783	-0.062	-0.036	0.0128	0.1479
year	2016	213	0.0068	-0.0969	-0.0596	0.0248	0.0774	0.1049
year	2017	99	0.0135	-0.0501	-0.0251	0.0225	0.0468	0.0607
year	2018	121	-0.0283	-0.0809	-0.0726	-0.0556	-0.001	0.0794
year	2019	157	0.0716	-0.0359	0.0384	0.0751	0.1151	0.1525
year	2020	236	0.0309	-0.0676	-0.0345	0.0356	0.0931	0.1326
year	2021	168	0.0079	-0.0539	-0.0356	-0.0088	0.0483	0.0941
year	2022	249	0.0031	-0.0863	-0.0607	-0.0091	0.0615	0.0974
year	2023	167	0.0286	-0.0465	-0.0191	0.0337	0.0671	0.0889
year	2024	203	0.0956	0.0212	0.0572	0.0983	0.139	0.167
year	2025	224	0.1502	0.0508	0.1079	0.1589	0.1987	0.2355
year	2026	53	-0.0823	-0.132	-0.121	-0.097	-0.0515	-0.0027
