split	year_bucket	rows	positive_rate	avg_future_return	summary_type	model_name	period	predicted_positive_rate
validation	2019.0	5	1.0	0.06316905809384292	yearly_barrier			
validation	2020.0	236	0.4067796610169492	0.030945695216888443	yearly_barrier			
validation	2021.0	168	0.35119047619047616	0.007916136082154983	yearly_barrier			
validation	2022.0	243	0.4156378600823045	0.0009195745747473928	yearly_barrier			
test	2022.0	6	1.0	0.09088864053143131	yearly_barrier			
test	2023.0	167	0.31736526946107785	0.028645435583377177	yearly_barrier			
test	2024.0	203	0.8374384236453202	0.09555667297700497	yearly_barrier			
test	2025.0	224	0.84375	0.15015474675418236	yearly_barrier			
test	2026.0	53	0.4339622641509434	-0.08229020199975333	yearly_barrier			
		705			stage_model_positive_rate	ret_60	2008_2010	0.7971631205673759
		1767			stage_model_positive_rate	ret_60	2011_2019	0.967741935483871
		820			stage_model_positive_rate	ret_60	2020_2023	0.9524390243902439
		480			stage_model_positive_rate	ret_60	2024_plus	0.8729166666666667
		705			stage_model_positive_rate	sma_gap_60	2008_2010	0.798581560283688
		1767			stage_model_positive_rate	sma_gap_60	2011_2019	0.9688737973967176
		820			stage_model_positive_rate	sma_gap_60	2020_2023	0.9463414634146341
		480			stage_model_positive_rate	sma_gap_60	2024_plus	0.8458333333333333
