model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound
ret_60_plus_sma_gap_60	threshold	0.465	11	0.8603	0.7288	0.9207	0.7273	0.078	-0.1427
ret_60_plus_sma_gap_60	fixed_0.47	0.47	11	0.7889	0.7324	0.8485	0.7273	0.0873	-0.0675
ret_60_plus_sma_gap_60	fixed_0.49	0.49	7	0.1349	0.5059	0.1002	0.7143	0.0765	-0.068
ret_60_plus_sma_gap_60	top_12_5pct	0.4902	7	0.1254	0.4937	0.0909	0.7143	0.0765	-0.068
ret_60_plus_sma_gap_60	top_15pct	0.4896	7	0.1508	0.5368	0.1189	0.7143	0.0893	-0.068
ret_60_plus_sma_gap_60	top_17_5pct	0.4889	7	0.1762	0.5766	0.1492	0.7143	0.0893	-0.068
ret_60_plus_sma_gap_60	top_20pct	0.4883	7	0.2	0.5873	0.1725	0.7143	0.0838	-0.068
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0.459	11	0.8571	0.7278	0.9161	0.7273	0.078	-0.1427
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	0.47	10	0.6175	0.7275	0.6597	0.7	0.083	-0.0675
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0.49	3	0.0175	0.7273	0.0186	0.6667	0.0174	-0.068
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	0.4825	7	0.1508	0.5368	0.1189	0.7143	0.0886	-0.068
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_17_5pct	0.4818	7	0.1762	0.5766	0.1492	0.7143	0.0838	-0.068
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	0.4812	8	0.2	0.5873	0.1725	0.75	0.0975	-0.068
